geoName,geoCode,keyword,interest,geo_scope,fetched_at
Nevada,US-NV,Netflix,83,US,2026-05-17T16:58:25.788229
New Hampshire,US-NH,Netflix,88,US,2026-05-17T16:58:25.788229
New Jersey,US-NJ,Netflix,90,US,2026-05-17T16:58:25.788229
New Mexico,US-NM,Netflix,84,US,2026-05-17T16:58:25.788229
New York,US-NY,Netflix,85,US,2026-05-17T16:58:25.788229
North Carolina,US-NC,Netflix,82,US,2026-05-17T16:58:25.788229
North Dakota,US-ND,Netflix,75,US,2026-05-17T16:58:25.788229
Ohio,US-OH,Netflix,77,US,2026-05-17T16:58:25.788229
Oklahoma,US-OK,Netflix,77,US,2026-05-17T16:58:25.788229
Oregon,US-OR,Netflix,80,US,2026-05-17T16:58:25.788229
Pennsylvania,US-PA,Netflix,86,US,2026-05-17T16:58:25.788229
Rhode Island,US-RI,Netflix,95,US,2026-05-17T16:58:25.788229
South Carolina,US-SC,Netflix,78,US,2026-05-17T16:58:25.788229
South Dakota,US-SD,Netflix,74,US,2026-05-17T16:58:25.788229
Tennessee,US-TN,Netflix,76,US,2026-05-17T16:58:25.788229
Texas,US-TX,Netflix,80,US,2026-05-17T16:58:25.788229
Utah,US-UT,Netflix,75,US,2026-05-17T16:58:25.788229
Vermont,US-VT,Netflix,100,US,2026-05-17T16:58:25.788229
Virginia,US-VA,Netflix,79,US,2026-05-17T16:58:25.788229
Washington,US-WA,Netflix,82,US,2026-05-17T16:58:25.788229
West Virginia,US-WV,Netflix,74,US,2026-05-17T16:58:25.788229
Wisconsin,US-WI,Netflix,78,US,2026-05-17T16:58:25.788229
Wyoming,US-WY,Netflix,85,US,2026-05-17T16:58:25.788229
Alabama,US-AL,Amazon,87,US,2026-05-17T16:58:27.868617
Alaska,US-AK,Amazon,75,US,2026-05-17T16:58:27.868617
Arizona,US-AZ,Amazon,84,US,2026-05-17T16:58:27.868617
Arkansas,US-AR,Amazon,78,US,2026-05-17T16:58:27.868617
California,US-CA,Amazon,81,US,2026-05-17T16:58:27.868617
Colorado,US-CO,Amazon,75,US,2026-05-17T16:58:27.868617
Connecticut,US-CT,Amazon,83,US,2026-05-17T16:58:27.868617
Delaware,US-DE,Amazon,99,US,2026-05-17T16:58:27.868617
District of Columbia,US-DC,Amazon,67,US,2026-05-17T16:58:27.868617
Florida,US-FL,Amazon,88,US,2026-05-17T16:58:27.868617
Georgia,US-GA,Amazon,87,US,2026-05-17T16:58:27.868617
Hawaii,US-HI,Amazon,75,US,2026-05-17T16:58:27.868617
