tmdb_id,title,release_date,popularity,vote_average,vote_count,genre_ids,overview,fetched_at
1363974,That Time I Got Reincarnated as a Slime the Movie: Tears of the Azure Sea,2026-02-27,4.5873,5.3,3,"[16, 14, 12, 35]","After concluding the opening ceremony of the Demon Kingdom Federation Tempest, Rimuru and his companions are invited by the Celestial Emperor Hermesia of the great elven nation – the Magi Dynasty Salion – to visit her private resort island. As the group enjoys their brief vacation, a mysterious woman named Yura appears. A new incident unfolds against the backdrop of the boundless azure sea.",2026-05-21T22:17:58.652912
1288341,Seven Snipers,2026-04-30,4.53,6.0,2,"[28, 53]","When a former elite sniper is hunted down by the ruthless warlord who once held her captive, she must fight to the death to protect the daughter she has raised in hiding, on a remote Australian farm.",2026-05-21T22:17:58.652918
1288072,Keeper,2025-11-12,4.5123,5.6,233,"[27, 9648]","Liz and Malcolm escape for a romantic anniversary weekend at a secluded cabin. When Malcolm suddenly returns to the city, Liz finds herself isolated and in the presence of an unspeakable evil that reveals the cabin's horrifying secrets.",2026-05-21T22:17:58.652925
1059128,Queer,2024-11-27,4.4579,6.583,521,"[18, 10749]","In 1950s Mexico City, William Lee, an American ex-pat in his late forties, leads a solitary life amidst a small American community. However, the arrival in town of Eugene Allerton, a young student, stirs William into finally establishing a meaningful connection with someone.",2026-05-21T22:17:58.652931
1365683,Primavera,2025-12-05,4.4494,7.057,79,"[10402, 18, 36]","In 18th-century Venice, 20-year-old violin virtuoso Cecilia lives at the Pièta orphanage, where, despite her talent, she remains confined, knowing that marriage is the only way out. Yet, her life takes a turn after she meets Antonio Vivaldi, a brilliant and ambitious composer who becomes the new violin teacher. Guided by Vivaldi and his music, Cecilia finds the strength to challenge the destiny that once seemed inevitable.",2026-05-21T22:17:58.652937
1295400,The Last Viking,2025-10-09,4.4069,7.3,124,"[35, 80, 18]","After serving fourteen years for robbery, Anker is released from prison and reunites with his mentally ill brother Manfred, who alone knows where the stolen money is hidden but has forgotten its location, sending them on a journey to recover the loot and confront who they are.",2026-05-21T22:17:58.652943
15916,Angel's Egg,1985-12-22,4.2904,7.71,580,"[16, 14, 9648]","In the ruins of a strange city, a young girl takes care of a large egg she holds carefully in her arms. She bonds with a boy who is searching for a bird he saw in a dream.",2026-05-21T22:17:58.652950
524635,The Chronology of Water,2025-10-15,4.2886,6.5,55,[18],"Plagued by an abusive childhood, a woman finds escape in competitive swimming, sexual experimentation, toxic relationships, and addiction before ultimately finding her voice through writing.",2026-05-21T22:17:58.652956
13754,Tekkonkinkreet,2006-12-23,4.2675,7.4,415,"[28, 12, 16]","Two penniless orphans, Black and White, struggle to survive on the mean streets of Treasure Town. When a megacorporation threatens to tear down the town to build an amusement park, Black and White engage in the fight of their life.",2026-05-21T22:17:58.652963
1223178,Umamusume: Pretty Derby - Beginning of a New Era,2024-05-24,4.1707,8.2,21,"[16, 18, 35, 14]","Jungle Pocket, an Umamusume who has been racing tirelessly in pursuit of becoming the greatest, is ready to take on the once-in-a-lifetime Classic Triple Crown series. However, standing in her way are rivals from the same generation, whose talent may even surpass her own.",2026-05-21T22:17:58.652975
1205229,Night of the Zoopocalypse,2025-01-23,4.1454,6.6,90,"[16, 35, 27, 12, 878, 10751]",A wolf and mountain lion team up when a meteor unleashes a virus turning zoo animals into zombies. They join forces with other survivors to rescue the zoo and stop the deranged mutant leader from spreading the virus.,2026-05-21T22:17:58.652982
1379266,Kokuho,2025-06-06,4.092,7.958,71,[18],"Nagasaki, 1964: Following the death of his yakuza father, 15-year-old Kikuo is taken under the wing of a famous kabuki actor. Alongside Shunsuke, the actor’s only son, he decides to dedicate himself to this traditional form of theatre. For decades, the two young men grow and evolve together – and one will become the greatest Japanese master of the art of kabuki.",2026-05-21T22:17:58.652988
1529513,Kong Tao,2026-03-19,4.0195,8.5,2,"[12, 53]","Local property developer Song Longchen secretly employs black magic—known as Hexing—to seize control of valuable land parcels. His schemes leave behind a trail of unexplained deaths, which authorities dismiss as mere accidents due to widespread skepticism toward the supernatural.",2026-05-21T22:17:58.652994
